fe-Aggregate-AggregateProperty	aggregate@aggregateproperty
fe-Businesses-Business_Name	businesses@business_name
fe-Catastrophe-Undesirable_Event	catastrophe@undesirable_event
fe-Cause_change_of_consistency-HotCold_source	cause_change_of_consistency@hotcold_source
fe-Cause_change_of_position_on_a_scale-Co_Variable	cause_change_of_position_on_a_scale@co_variable
fe-Cause_expansion-Co_Variable	cause_expansion@co_variable
fe-Cause_motion-Initial_State	cause_motion@initial_state
fe-Cause_proliferation_in_number-Co_Variable	cause_proliferation_in_number@co_variable
fe-Cause_temperature_change-Hot_Cold_source	cause_temperature_change@hot_cold_source
fe-Ceasing_to_be-Period_of_Iterations	ceasing_to_be@period_of_iterations
fe-Coming_to_be-Period_of_Iterations	coming_to_be@period_of_iterations
fe-Commerce_sell-Purpose_of_Goods	commerce_sell@purpose_of_goods
fe-Compliance-State_of_Affairs	compliance@state_of_affairs
fe-Conduct-Affected_Party	conduct@affected_party
fe-Containment_relation_IS-Landmark	containment_relation_is@landmark
fe-Containment_relation_IS-Profiled_region	containment_relation_is@profiled_region
fe-Containment_relation_IS-Trajector	containment_relation_is@trajector
fe-Convey_importance-Particular%20Iteration	convey_importance@particular%20iteration
fe-Cooking_creation-Heating_Instrument	cooking_creation@heating_instrument
fe-Desiring-Location_of_Event	desiring@location_of_event
fe-Desiring-Purpose_of_Event	desiring@purpose_of_event
fe-Desiring-Time_of_Event	desiring@time_of_event
fe-Detaining-Holding_Location	detaining@holding_location
fe-Event_instance-Instance_Prop	event_instance@instance_prop
fe-Evidence-Domain_of_Relevance	evidence@domain_of_relevance
fe-Extradition-Legal_Basis	extradition@legal_basis
fe-Going_back_on_a_commitment-Re_Encoding	going_back_on_a_commitment@re_encoding
fe-Hair_configuration-Hair_Property	hair_configuration@hair_property
fe-Halt-Containing_Event	halt@containing_event
fe-Impact-Period_of_Iterations	impact@period_of_iterations
fe-Inclination-Containing_Event	inclination@containing_event
fe-Information-Means_of_Gathering	information@means_of_gathering
fe-Instance-Instance_Prop	instance@instance_prop
fe-Into-Goal-Interior	into@goal-interior
fe-Into-Source-Exterior	into@source-exterior
fe-Labeling-Duration_Of_Final_State	labeling@duration_of_final_state
fe-Labeling-Particular_Iteration	labeling@particular_iteration
fe-Medical_conditions-Body_Part	medical_conditions@body_part
fe-Observable_body_parts-Orientational_Location	observable_body_parts@orientational_location
fe-Part_inner_outer-Part_Prop	part_inner_outer@part_prop
fe-Part_orientational-Part_Prop	part_orientational@part_prop
fe-Part_whole-Part_Prop	part_whole@part_prop
fe-Passing-Initial_State	passing@initial_state
fe-Planting-Co-Participant	planting@co-participant
fe-Predicting-Time_of_Eventuality	predicting@time_of_eventuality
fe-Preference-Location_of_Event	preference@location_of_event
fe-Preference-Purpose_of_Event	preference@purpose_of_event
fe-Preference-Time_of_Event	preference@time_of_event
fe-Quantity-Q_Prop	quantity@q_prop
fe-Reason-State_of_Affairs	reason@state_of_affairs
fe-Relational_quantity-Q_Prop	relational_quantity@q_prop
fe-Renting_out-Purpose_of_Goods	renting_out@purpose_of_goods
fe-Resolve_problem-Containing_Event	resolve_problem@containing_event
fe-Resolve_problem-Resultant_Situation	resolve_problem@resultant_situation
fe-Revenge-Injured_Party	revenge@injured_party
fe-Rite-New_Status	rite@new_status
fe-Ruling_legally-Legal_Basis	ruling_legally@legal_basis
fe-Shaped_part-Part_Prop	shaped_part@part_prop
fe-Trajector-Landmark-Landmark	trajector-landmark@landmark
fe-Trajector-Landmark-Profiled_region	trajector-landmark@profiled_region
fe-Trajector-Landmark-Trajector	trajector-landmark@trajector
fe-Travel-Period_of_Iterations	travel@period_of_iterations
fe-Type-Item_Property	type@item_property
fe-Type-Type_Property	type@type_property
fe-Verdict-Legal_Basis	verdict@legal_basis
frame-Abounding_with-adorned.a	abounding_with#decorated.a
frame-Abounding_with-draped.a	abounding_with#cloaked.a
frame-Abounding_with-spattered.a	abounding_with#splattered.a
frame-Abounding_with-teem.v	abounding_with#swarm.v
frame-Absorb_heat-sear.v	absorb_heat#scorch.v	absorb_heat#singe.v
frame-Absorb_heat-stew.v	absorb_heat#simmer.v
frame-Abundance-abound.v	abundance#abundant.a
frame-Abusing-abuse.v	abusing#abuse.n	abusing#abusive.a	abusing#maltreat.v	abusing#maltreatment.n
frame-Accompaniment-along_with.prep	accompaniment#along_with.c
frame-Accompaniment-together_with.prep	accompaniment#together_with.c
frame-Accompaniment-with.prep	accompaniment#with.c
frame-Accomplishment-achieve.v	accomplishment#accomplish.v	accomplishment#accomplishment.n	accomplishment#achievement.n
frame-Accoutrements-bangle.n	accoutrements#bracelet.n
frame-Accoutrements-boater.n	accoutrements#panama.n
frame-Accoutrements-crown.n	accoutrements#diadem.n
frame-Accoutrements-glasses.n	accoutrements#spectacles.n
frame-Accoutrements-medal.n	accoutrements#medallion.n	accoutrements#ribbon.n
frame-Accuracy-accurately.adv	accuracy#accurate.a	accuracy#accurately.c
frame-Accuracy-inaccurately.adv	accuracy#inaccurate.a	accuracy#inaccurately.c
frame-Accuracy-off.prep	accuracy#off.c
frame-Accuracy-on.prep	accuracy#on.c
frame-Accuracy-precision.n	accuracy#exact.a	accuracy#precise.a
frame-Achieving_first-coin.v	achieving_first#coinage.n
frame-Achieving_first-invent.v	achieving_first#discover.v	achieving_first#discoverer.n	achieving_first#discovery.n	achieving_first#invention.n	achieving_first#inventor.n
frame-Achieving_first-originate.v	achieving_first#originator.n
frame-Achieving_first-pioneer.v	achieving_first#pioneer.n
frame-Activity_done_state-done.a	activity_done_state#through.a
frame-Activity_finish-finish.v	activity_finish#complete.v	activity_finish#completion.n
frame-Activity_ongoing-keep.v	activity_ongoing#carry_on.v	activity_ongoing#continue.v	activity_ongoing#keep_on.v	activity_ongoing#keep_up.v	activity_ongoing#maintain.v	activity_ongoing#proceed.v
frame-Activity_pause-freeze.v	activity_pause#freeze.n	activity_pause#suspend.v
frame-Activity_prepare-fix.v	activity_prepare#ready.v
frame-Activity_prepare-gear_up.v	activity_prepare#preparation.n	activity_prepare#prepare.v
frame-Activity_ready_state-ready.a	activity_ready_state#prepared.a
frame-Activity_resume-resume.v	activity_resume#restart.v
frame-Activity_start-begin.v	activity_start#beginner.n	activity_start#commence.v	activity_start#initiate.v	activity_start#neophyte.n	activity_start#start.v	activity_start#take_up.v
frame-Activity_stop-halt.v	activity_stop#cease.v	activity_stop#discontinue.v	activity_stop#quit.v	activity_stop#stop.v
frame-Addiction-addict.n	addiction#addiction.n	addiction#hooked.a	addiction#junkie.n
frame-Addiction-alcoholic.n	addiction#alcoholism.n
frame-Adding_up-tally.v	adding_up#add_up.v	adding_up#total.v
frame-Adducing-cite.v	adducing#adduce.v	adducing#name.v
frame-Adjusting-adjust.v	adjusting#adjustment.n
frame-Adjusting-calibrate.v	adjusting#calibration.n
frame-Adorning-deck.v	adorning#adorn.v	adorning#decorate.v
